105|10533|답십리|5호선|2543|542
104|10401|당고개|4호선|0409|409
1801|180107|당곡|신림선|4407|M4407
109|10910|당산|9호선|4113|237
102|10234|당산|2호선|0237|913
101|10197|당정|1호선|1729|P151
1001|100112|대곡|경의선|0300|K322
103|10306|대곡|3호선|1953|314
104|10429|대공원|4호선|1452|437
107|10747|대림|7호선|2746|233
102|10226|대림|2호선|0233|744
201|20110|대모산입구|수인분당선|1028|K220
1801|180102|대방|신림선|4402|M4402
101|10128|대방|1호선|1005|137
1201|120108|대성리|경춘선|1320|P131
104|10438|대야미|4호선|1752|446
103|10338|대청|3호선|0337|347
103|10336|대치|3호선|0335|345
103|10301|대화|3호선|1958|309
106|10623|대흥|6호선|2626|625
101|10189|덕계|1호선|1910|106
1001|100142|덕소|경의선|1208|K126
101|10190|덕정|1호선|1911|105
201|20117|도곡|수인분당선|1025|344
103|10335|도곡|3호선|0334|K217
1001|100140|도농|경의선|1206|K124
102|10228|도림천|2호선|0247|234-1
101|10106|도봉|1호선|1902|114
107|10748|도봉산|7호선|2712|710
101|10105|도봉산|1호선|1903|113
1001|100143|도심|경의선|1209|K127
101|10150|도원|1호선|1817|159
101|10148|도화|1호선|1823|157
103|10317|독립문|3호선|0316|326
106|10636|독바위|6호선|2614|613
101|10161|독산|1호선|1714|P143
302|30209|독정|인천2호선|3206|I206
106|10605|돌곶이|6호선|2644|643
104|10450|동대문|4호선|0421|128
101|10119|동대문|1호선|0155|421
105|10553|동대문역사문화공원|5호선|2537|205
104|10451|동대문역사문화공원|4호선|0422|422
102|10245|동대문역사문화공원|2호선|0205|536
103|10323|동대입구|3호선|0322|332
101|10194|동두천|1호선|1915|101
101|10192|동두천중앙|1호선|1913|103
301|30101|동막|인천선|3132|I132
106|10612|동묘앞|6호선|2637|127
101|10153|동묘앞|1호선|0159|636
1301|130105|동백|용인경전철|4505|Y114
301|30112|동수|인천선|3121|I121
101|10145|동암|1호선|1808|154
202|20208|동오|의정부경전철|4608|U118
101|10151|동인천|1호선|1811|160
109|10911|동작|9호선|4120|431
104|10423|동작|4호선|0431|920
1101|110107|동천|신분당선|4314|D14
301|30102|동춘|인천선|3131|I131
101|10185|두정|1호선|1727|P168
1301|130114|둔전|용인경전철|4515|Y125
105|10545|둔촌동|5호선|2555|P549
109|10937|둔촌오륜|9호선|4137|937
109|10912|등촌|9호선|4109|909
1001|100117|디지털미디어시티|경의선|1266|K316
901|90107|디지털미디어시티|공항철도|4204|A04
106|10630|디지털미디어시티|6호선|2619|618
102|10250|뚝섬|2호선|0210|210
107|10720|뚝섬유원지|7호선|2730|728
105|10505|마곡|5호선|2515|514
901|90114|마곡나루|공항철도|4206|A042
109|10913|마곡나루|9호선|4105|905
103|10304|마두|3호선|1955|312
107|10704|마들|7호선|2714|712
1701|170103|마산|김포도시철도|4922|692
1201|120109|마석|경춘선|1319|P130
105|10532|마장|5호선|2542|541
302|30210|마전|인천2호선|3204|I204
105|10551|마천|5호선|2561|P555
105|10519|마포|5호선|2529|528
106|10628|마포구청|6호선|2621|620
302|30211|만수|인천2호선|3224|I224
1201|120110|망우|경춘선|1310|K121
1001|100137|망우|경의선|1203|P121
106|10627|망원|6호선|2622|621
101|10104|망월사|1호선|1904|112
201|20141|망포|수인분당선|1869|K241
201|20124|매교|수인분당선|1872|K244
103|10334|매봉|3호선|0333|343
201|20125|매탄권선|수인분당선|1870|K242
107|10710|먹골|7호선|2720|718
107|10713|면목|7호선|2723|721
104|10416|명동|4호선|0424|424
105|10542|명일|5호선|2552|551
1301|130109|명지대|용인경전철|4510|Y118
101|10166|명학|1호선|1707|P148
201|20118|모란|수인분당선|1853|827
108|10817|모란|8호선|2827|K225
302|30212|모래내시장|인천2호선|3223|I223
105|10511|목동|5호선|2521|520
108|10804|몽촌토성|8호선|2814|813
103|10316|무악재|3호선|0315|325
102|10232|문래|2호선|0235|235
1001|100101|문산|경의선|1284|K335
108|10809|문정|8호선|2819|818
301|30106|문학경기장|인천선|3127|I127
1101|110113|미금|신분당선|4313|D13
201|20102|미금|수인분당선|1858|K231
105|10560|미사|5호선|2563|555
104|10407|미아|4호선|0415|415
104|10408|미아사거리|4호선|0416|416
301|30121|박촌|인천선|3112|I112
104|10439|반월|4호선|1753|447
107|10725|반포|7호선|2735|733
202|20201|발곡|의정부경전철|4601|U110
105|10506|발산|5호선|2516|515
102|10218|방배|2호선|0225|225
105|10547|방이|5호선|2557|P551
101|10107|방학|1호선|1901|115
105|10501|방화|5호선|2511|510
101|10154|배방|1호선|1405|P174
1001|100110|백마|경의선|1273|K324
103|10305|백석|3호선|1954|313
1201|120111|백양리|경춘선|1325|P136
101|10144|백운|1호선|1807|153
106|10616|버티고개|6호선|2633|632
104|10434|범계|4호선|1457|442
202|20203|범골|의정부경전철|4603|U112
1201|120119|별내|경춘선|1313|P124
104|10458|별내별가람|4호선|0408|408
101|10174|병점|1호선|1716|P157
1801|180104|보라매|신림선|4404|M4404
107|10734|보라매|7호선|2744|742
1801|180105|보라매공원|신림선|4405|M4405
1801|180106|보라매병원|신림선|4406|M4406
1501|150102|보문|우이신설경전철|4712|952
106|10610|보문|6호선|2639|638
101|10193|보산|1호선|1914|102
201|20114|보정|수인분당선|1861|K234
1301|130113|보평|용인경전철|4514|Y123
201|20119|복정|수인분당선|1031|K222
108|10811|복정|8호선|2821|820
101|10155|봉명|1호선|1401|P170
109|10929|봉은사|9호선|4129|929
102|10222|봉천|2호선|0229|229
106|10601|봉화산|6호선|2648|647
101|10142|부개|1호선|1815|151
203|20309|부발|경강선|1509|K418
101|10139|부천|1호선|1804|148
107|10756|부천시청|7호선|3757|755
107|10753|부천종합운동장|7호선|3754|752
301|30123|부평|인천선|3120|152
101|10143|부평|1호선|1806|I120
301|30115|부평구청|인천선|3118|759
107|10760|부평구청|7호선|3761|I118
301|30111|부평삼거리|인천선|3122|I122
301|30114|부평시장|인천선|3119|I119
1501|150105|북한산보국문|우이신설경전철|4709|949
1501|150113|북한산우이|우이신설경전철|4701|941
106|10640|불광|6호선|2613|322
103|10313|불광|3호선|0312|612
107|10714|사가정|7호선|2724|722
104|10452|사당|4호선|0433|226
102|10219|사당|2호선|0226|433
1201|120112|사릉|경춘선|1315|P126
201|20165|사리|수인분당선|1877|K250
1701|170107|사우|김포도시철도|4926|696
109|10914|사평|9호선|4124|924
107|10761|산곡|7호선|3762|760
104|10436|산본|4호선|1751|444
108|10812|산성|8호선|2822|822
1301|130107|삼가|용인경전철|4508|Y116
106|10641|삼각지|6호선|2629|428
104|10420|삼각지|4호선|0428|628
203|20303|삼동|경강선|1503|K412
107|10758|삼산체육관|7호선|3759|757
102|10212|삼성|2호선|0219|219
109|10928|삼성중앙|9호선|4128|928
103|10309|삼송|3호선|1950|318
1501|150108|삼양|우이신설경전철|4706|946
1501|150107|삼양사거리|우이신설경전철|4707|947
109|10931|삼전|9호선|4131|931
201|20128|상갈|수인분당선|1866|K238
104|10402|상계|4호선|0410|410
107|10731|상도|7호선|2741|739
107|10757|상동|7호선|3758|756
104|10440|상록수|4호선|1754|448
1201|120113|상봉|경춘선|1309|K120
1001|100154|상봉|경의선|1202|P120
107|10712|상봉|7호선|2722|720
106|10625|상수|6호선|2624|623
102|10247|상왕십리|2호선|0207|207
106|10606|상월곡|6호선|2643|642
105|10544|상일동|5호선|2554|553
1201|120114|상천|경춘선|1322|P133
1101|110110|상현|신분당선|4317|D17
202|20209|새말|의정부경전철|4609|U119
106|10632|새절|6호선|2617|616
1801|180101|샛강|신림선|4401|M4401
109|10915|샛강|9호선|4116|916
1001|100122|서강대|경의선|1263|K313
302|30213|서구청|인천2호선|3210|I210
105|10523|서대문|5호선|2533|532
101|10199|서동탄|1호선|1749|P157-1
302|30214|서부여성회관|인천2호선|3214|I214
1001|100129|서빙고|경의선|1009|K112
1801|180110|서울대벤처타운|신림선|4410|M4410
102|10221|서울대입구|2호선|0228|228
201|20129|서울숲|수인분당선|1847|K211
1001|100120|서울역|경의선|1251|133
901|90108|서울역|공항철도|4201|426
104|10453|서울역|4호선|0426|P313
101|10124|서울역|1호선|0150|A01
1801|180103|서울지방병무청|신림선|4403|M4403
1801|180109|서원|신림선|4409|M4409
101|10180|서정리|1호선|1722|P163
102|10217|서초|2호선|0224|224
201|20105|서현|수인분당선|1855|K228
106|10642|석계|6호선|2645|120
101|10112|석계|1호선|1018|644
302|30215|석남|인천2호선|3213|761
107|10762|석남|7호선|3763|I213
302|30216|석바위시장|인천2호선|3220|I220
101|10163|석수|1호선|1704|P145
302|30217|석천사거리|인천2호선|3222|I222
109|10933|석촌|9호선|4133|933
108|10806|석촌|8호선|2816|815
109|10932|석촌고분|9호선|4132|932
201|20120|선릉|수인분당선|1023|220
