5호선|5호선|105|김포공항|12680126|3756202|126.80126014383929|37.56201535312102|subway|metro|10503|
2호선|2호선|102|까치산|12684674|3753168|126.84674322099|37.531683732422|subway|metro|10231|
7호선|7호선|107|까치울|12681133|3750633|126.81133088255116|37.50632982636289|subway|metro|10752|
2호선|2호선|102|낙성대|12696360|3747693|126.96360015514|37.476926072591|subway|metro|10220|
7호선|7호선|107|남구로|12688734|3748613|126.88733546929|37.486132829255|subway|metro|10737|
인천2호선|인천2호선|302|남동구청|12673663|3744842|126.7366259237876|37.448424446678025|subway|metro|30208|
3호선|3호선|103|남부터미널|12701619|3748482|127.01618975187|37.48482471707|subway|metro|10332|
7호선|7호선|107|남성|12697124|3748453|126.97123513697|37.484534687511|subway|metro|10729|
1호선|1호선|101|남영|12697129|3754059|126.97129361602536|37.54059346815636|subway|metro|10125|
8호선|8호선|108|남위례|12713935|3746272|127.139350997519|37.4627230752808|subway|metro|10820|
경춘선|경춘선|1201|남춘천|12772346|3786378|127.7234594265572|37.86378285384552|subway|metro|120107|
4호선|4호선|104|남태령|12698884|3746425|126.98883630666627|37.46424858107809|subway|metro|10426|
8호선|8호선|108|남한산성입구|12715980|3745156|127.15979628094|37.451562536763|subway|metro|10813|
7호선|7호선|107|내방|12699322|3748751|126.99322231453|37.487511800919|subway|metro|10727|
9호선|9호선|109|노들|12695298|3751261|126.95297932426911|37.51260923196742|subway|metro|10908|
1호선|1호선|101|노량진|12694181|3751373|126.94180614686586|37.513732763211586|subway|metro|10127|
4호선|4호선|104|노원|12706201|3765496|127.06200534604257|37.654960363881045|subway|metro|10403|
3호선|3호선|103|녹번|12693575|3760086|126.93575297378|37.600855247606|subway|metro|10314|
6호선|6호선|106|녹사평|12698675|3753464|126.98675178778|37.534642010642|subway|metro|10619|
1호선|1호선|101|녹양|12704243|3775931|127.04243035921|37.759309740394|subway|metro|10187|
1호선|1호선|101|녹천|12705126|3764462|127.05125652042054|37.644619985400325|subway|metro|10109|
7호선|7호선|107|논현|12702128|3751119|127.02128307667|37.511186914218|subway|metro|10724|
경의선|경의선|1001|능곡|12682030|3761891|126.82029521338018|37.61890741140846|subway|metro|100113|
8호선|8호선|108|단대오거리|12715665|3744513|127.15665174386|37.44512808175|subway|metro|10814|
5호선|5호선|105|답십리|12705247|3756691|127.05247007659|37.566905978565|subway|metro|10533|
4호선|4호선|104|당고개|12707896|3767033|127.07895550849|37.670325722269|subway|metro|10401|
신림선|신림선|1801|당곡|12692756|3749022|126.927560844494|37.490223280126|subway|metro|180107|
2호선|2호선|102|당산|12690242|3753426|126.90242410030254|37.534257527403085|subway|metro|10234|
1호선|1호선|101|당정|12694834|3734379|126.94834347130136|37.343791623679074|subway|metro|10197|
3호선|3호선|103|대곡|12681030|3763134|126.81029876299202|37.631335503602784|subway|metro|10306|
4호선|4호선|104|대공원|12700657|3743577|127.00657195018836|37.43577238556911|subway|metro|10429|
2호선|2호선|102|대림|12689571|3749307|126.89571045445|37.493072071403|subway|metro|10226|
수인분당선|수인분당선|201|대모산입구|12707243|3749133|127.0724266|37.49132987|subway|metro|20110|
1호선|1호선|101|대방|12692681|3751316|126.92680827431374|37.513163547029286|subway|metro|10128|
경춘선|경춘선|1201|대성리|12737982|3768385|127.37981662723735|37.68384736501166|subway|metro|120108|
4호선|4호선|104|대야미|12691700|3732793|126.91700136757852|37.32792577868461|subway|metro|10438|
3호선|3호선|103|대청|12707952|3749346|127.07951501295|37.493460961119|subway|metro|10338|
3호선|3호선|103|대치|12706327|3749428|127.06326650381|37.494279495241|subway|metro|10336|
3호선|3호선|103|대화|12674733|3767594|126.74732800168675|37.67593649253591|subway|metro|10301|
6호선|6호선|106|대흥|12694222|3754766|126.94222056330|37.547664885931|subway|metro|10623|
1호선|1호선|101|덕계|12705636|3781867|127.05636038721|37.818668317728|subway|metro|10189|
경의선|경의선|1001|덕소|12720882|3758651|127.20881787976951|37.586512857776576|subway|metro|100142|
1호선|1호선|101|덕정|12706140|3784320|127.06140141515691|37.84320440014257|subway|metro|10190|
3호선|3호선|103|도곡|12705495|3749103|127.0549484|37.49102524|subway|metro|10335|
경의선|경의선|1001|도농|12716104|3760846|127.16103528274974|37.608457003774966|subway|metro|100140|
2호선|2호선|102|도림천|12688270|3751421|126.88270221357|37.514205221362|subway|metro|10228|
